domain,pair,relatedness_label,source_task,target_task,seed,relatedness_score,solve_accuracy,parent_epochs,parent_reached,pair_valid,clone_epochs,clone_success,scratch_epochs,scratch_success,speedup,clone_heldout_mse,scratch_heldout_mse
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,2,0.00037230107250842267,0.015625,263,True,True,1113.0,True,1147.0,True,1.0305480682839174,0.23496886874185444,0.28624626150905585
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,3,0.0010532974970248066,0.015625,263,True,True,1037.0,True,1129.0,True,1.0887174541947926,0.21371008855483567,0.24454649523301825
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,4,8.007543582360042e-05,0.015625,249,True,True,958.0,True,1240.0,True,1.2943632567849688,0.3873925421991126,0.45997207392453315
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,5,0.0003307544355961136,0.046875,255,True,True,887.0,True,1236.0,True,1.3934611048478016,0.33974002025910477,0.4463093006417618
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,6,0.0030527968772926127,0.0,304,True,True,1113.0,True,1061.0,True,0.9532794249775381,0.261942743574608,0.37602833362790006
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,7,0.00970544644231267,0.015625,270,True,True,859.0,True,937.0,True,1.090803259604191,0.5498934264919212,0.8738898418497445
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,8,0.001247573195280579,0.015625,301,True,True,1004.0,True,1226.0,True,1.2211155378486056,0.27341863310113695,0.35971832891987643
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,9,0.0018162484130577205,0.046875,243,True,True,1185.0,True,1309.0,True,1.1046413502109704,0.22145013988061715,0.3185785378601287
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,10,0.0001937620717569135,0.015625,317,True,True,972.0,True,1338.0,True,1.376543209876543,0.35712871851723593,0.25699206781189277
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,11,0.003412242073899912,0.046875,274,True,True,1302.0,True,1497.0,True,1.1497695852534562,0.1881519775544381,0.20479553294001515
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,12,0.0005451633683976735,0.046875,345,True,True,939.0,True,906.0,True,0.9648562300319489,0.30434466746046024,0.6105417045786219
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,13,0.01899690086103693,0.03125,354,True,True,1251.0,True,1253.0,True,1.0015987210231814,0.18739920837815505,0.2697193779828519
nonnegative,addition->multiplication,null/unrelated,addition,multiplication,14,0.002647408122108649,0.03125,282,True,True,995.0,True,1192.0,True,1.1979899497487436,0.27947187400363077,0.2996738945661834
signed,multiplication->powers,moderate/strong,multiplication,powers,0,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,1,,,1500,False,False,,,,,,,
