seed,source_task,target_task,compatibility_score,calibration_mse,calibration_accuracy,solved_label,original_reuse,false_reuse,calibrated_score_reuse,calibrated_false_reuse
6,subtraction,powers,0.72970683761374,16.088864895497185,0.18,False,False,False,False,False
6,multiplication,addition,0.0047657284617015966,487.3398789652465,0.03333333333333333,False,False,False,False,False
6,multiplication,subtraction,3.331206502639259e-10,715.8559912913913,0.0,False,False,False,False,False
6,multiplication,multiplication,0.993920058285542,0.1827158637723014,0.82,False,True,True,True,True
6,multiplication,powers,0.9086323901240732,5.036582402756252,0.4066666666666667,False,True,True,False,False
6,powers,addition,0.022265348416962077,222.44855883847723,0.056666666666666664,False,False,False,False,False
6,powers,subtraction,1.8835735908649037e-05,650.8405772947681,0.016666666666666666,False,False,False,False,False
6,powers,multiplication,0.004071993358291572,282.97539888447034,0.05,False,False,False,False,False
6,powers,powers,0.9983899210988582,0.14116797191146738,0.8766666666666667,True,True,False,True,False
7,addition,addition,0.9975441471619035,0.1461821027257346,0.8366666666666667,False,True,True,True,True
7,addition,subtraction,0.16991822727276767,111.3600070209434,0.07666666666666666,False,False,False,False,False
7,addition,multiplication,0.03258600736537151,379.08682082036216,0.05,False,False,False,False,False
7,addition,powers,0.9328920515953106,7.4045643263256125,0.18666666666666668,False,True,True,False,False
7,subtraction,addition,0.12494053976917745,117.42822581368047,0.06666666666666667,False,False,False,False,False
7,subtraction,subtraction,0.9980944203499037,0.16079840286251282,0.7966666666666666,False,True,True,True,True
7,subtraction,multiplication,0.0002148909412371455,785.1543653833508,0.0,False,False,False,False,False
7,subtraction,powers,0.8209444191253934,18.21779297712908,0.056666666666666664,False,False,False,False,False
7,multiplication,addition,0.0008832165817726612,343.20196712605724,0.016666666666666666,False,False,False,False,False
7,multiplication,subtraction,3.8756464704608046e-06,823.2305974348615,0.0,False,False,False,False,False
7,multiplication,multiplication,0.9978743803378747,0.26992901966033667,0.8166666666666667,False,True,True,True,True
7,multiplication,powers,0.9599539099594839,4.591515809892282,0.3433333333333333,False,True,True,False,False
7,powers,addition,0.036874671312252784,191.3585395846144,0.03666666666666667,False,False,False,False,False
7,powers,subtraction,6.169534010818262e-05,567.3760219969312,0.03,False,False,False,False,False
7,powers,multiplication,0.09230637734814647,232.5308163002151,0.09333333333333334,False,False,False,False,False
7,powers,powers,0.99780674670901,0.17849641372592004,0.88,True,True,False,True,False
8,addition,addition,0.9972248068074144,0.13289142286977185,0.8533333333333334,True,True,False,True,False
8,addition,subtraction,0.18547612035330616,102.68567009137237,0.11333333333333333,False,False,False,False,False
8,addition,multiplication,0.0004892318227632213,396.94849008333273,0.02,False,False,False,False,False
8,addition,powers,0.788747819233017,12.213018326473552,0.15666666666666668,False,False,False,False,False
8,subtraction,addition,0.12991348419766743,118.5834612820851,0.07,False,False,False,False,False
8,subtraction,subtraction,0.9983308468868113,0.09231131513649651,0.8766666666666667,True,True,False,True,False
8,subtraction,multiplication,1.3262778451141875e-07,850.4190728141948,0.03666666666666667,False,False,False,False,False
8,subtraction,powers,0.6060705274011343,25.909379962491244,0.11666666666666667,False,False,False,False,False
8,multiplication,addition,0.0006875484633733218,348.55626814994963,0.01,False,False,False,False,False
8,multiplication,subtraction,4.178999639466194e-07,838.2840057859252,0.0033333333333333335,False,False,False,False,False
8,multiplication,multiplication,0.9954419100264377,0.3353778977269993,0.8233333333333334,False,True,True,True,True
8,multiplication,powers,0.8652394627481209,7.867210573982621,0.18333333333333332,False,False,False,False,False
8,powers,addition,0.019120801212856968,243.47772218153278,0.03333333333333333,False,False,False,False,False
8,powers,subtraction,2.5531392883260203e-05,608.1017338157936,0.023333333333333334,False,False,False,False,False
8,powers,multiplication,0.013462472205394602,250.64187562941177,0.06666666666666667,False,False,False,False,False
8,powers,powers,0.9967301831473473,0.16148498138760464,0.8866666666666667,True,True,False,True,False
9,addition,addition,0.9980329777051268,0.1344183616478926,0.88,True,True,False,True,False
9,addition,subtraction,0.140356673734941,119.85776817787924,0.07,False,False,False,False,False
9,addition,multiplication,0.0015068858250398465,435.34700710610923,0.01,False,False,False,False,False
9,addition,powers,0.9489653373179322,8.720014907184348,0.20666666666666667,False,True,True,False,False
9,subtraction,addition,0.13722017805854814,132.66526676180436,0.06,False,False,False,False,False
9,subtraction,subtraction,0.9980977443124113,0.10359381936883905,0.8933333333333333,True,True,False,True,False
9,subtraction,multiplication,1.4288934984841123e-06,885.718783460611,0.03,False,False,False,False,False
9,subtraction,powers,0.8519608555604925,18.420880504334722,0.14,False,False,False,False,False
9,multiplication,addition,0.0013530155574512886,468.5310691708985,0.006666666666666667,False,False,False,False,False
9,multiplication,subtraction,7.378754683541578e-06,853.8599431257254,0.0,False,False,False,False,False
9,multiplication,multiplication,0.9959475053838727,0.2511688468252086,0.85,True,True,False,True,False
9,multiplication,powers,0.9693240090962706,5.392676016252042,0.42333333333333334,False,True,True,False,False
9,powers,addition,0.053767394295785774,169.07205768526742,0.03,False,False,False,False,False
9,powers,subtraction,0.00014922111277572222,546.2417156037948,0.016666666666666666,False,False,False,False,False
9,powers,multiplication,0.030520393372198706,250.06793076981586,0.07,False,False,False,False,False
9,powers,powers,0.9972839633904673,0.48374267476142013,0.88,True,True,False,True,False
