seed,strategy,source_task,target_task,epoch_budget,train_mse,validation_mse,test_mse,train_accuracy
7,clone,multiplication,powers,400,0.0844192956902673,0.08101244338970873,0.07808803682632003,0.925
7,clone,multiplication,powers,800,0.0538469934906527,0.0514486380774678,0.051068519058820726,1.0
7,clone,multiplication,powers,1200,0.032346834648889745,0.03121979019780222,0.031553024073548534,1.0
7,clone,multiplication,powers,1500,0.018919394095023304,0.01843069385941376,0.0186311202459927,1.0
7,scratch,random,powers,50,8.191710470412984,8.822615474193231,9.149977612731307,0.25
7,scratch,random,powers,100,6.94193340000591,7.73571472341147,7.321796019856344,0.125
7,scratch,random,powers,200,3.9138120515948094,4.424179824544831,4.0272813461829005,0.125
7,scratch,random,powers,400,0.46257782959469657,0.47581252462068185,0.44224898365267656,0.74
7,scratch,random,powers,800,0.03919213943604059,0.03999571157672977,0.03707780001158458,1.0
7,scratch,random,powers,1200,0.017101201809288816,0.017620645159300407,0.016350960036838183,1.0
7,scratch,random,powers,1500,0.011569175988664103,0.011876376459339682,0.011204912474008153,1.0
8,clone,multiplication,powers,50,1.7798027602489017,1.87573758702964,1.6477487281726053,0.22
8,clone,multiplication,powers,100,0.6418698222241577,0.6653231396003857,0.6601070319453477,0.625
8,clone,multiplication,powers,200,0.2066077070840751,0.22195739473471274,0.22227647320887428,0.825
8,clone,multiplication,powers,400,0.08955438635874342,0.09653431358413926,0.09779283852315065,0.87
8,clone,multiplication,powers,800,0.05695002276636782,0.062438709088523246,0.06456238976603625,1.0
8,clone,multiplication,powers,1200,0.04313110939490195,0.04675764101074129,0.0483523227756327,1.0
8,clone,multiplication,powers,1500,0.03291043689021023,0.0352712750950694,0.03343614801388938,1.0
8,scratch,random,powers,50,8.085617307035642,8.352123489940881,8.573676044599397,0.175
8,scratch,random,powers,100,7.271640255700222,7.679298263836446,7.407198748015889,0.26
8,scratch,random,powers,200,4.0754244997325255,4.315391764776909,3.992217967591524,0.26
8,scratch,random,powers,400,0.3270524635310018,0.34347954838760675,0.3440553890296033,0.67
8,scratch,random,powers,800,0.060473026493327066,0.06623947440407761,0.06585136397049945,1.0
8,scratch,random,powers,1200,0.038605792311516646,0.04283206938489279,0.0414740200790648,1.0
8,scratch,random,powers,1500,0.026275080861082413,0.028764556935650495,0.027503905943895977,1.0
9,clone,multiplication,powers,50,1.6845753768932588,2.3269703778599564,1.994214224894639,0.315
9,clone,multiplication,powers,100,0.4601405449531918,0.7941806315382305,0.6988196000271943,0.705
9,clone,multiplication,powers,200,0.16813799796901605,0.3125919376202582,0.2733458129567035,0.97
9,clone,multiplication,powers,400,0.07468449748613977,0.11980261691253695,0.1061154477883888,0.91
9,clone,multiplication,powers,800,0.051353813302980916,0.0696419225526588,0.06350985373614758,0.97
9,clone,multiplication,powers,1200,0.037593085875895806,0.04856302186086121,0.04490894259094303,1.0
9,clone,multiplication,powers,1500,0.027850531092825984,0.03369874661108728,0.03235838319448863,1.0
9,scratch,random,powers,50,9.463068478507875,8.393884816840192,8.560781149621453,0.23
9,scratch,random,powers,100,8.255637185613235,8.06612179083548,7.531110422124075,0.1
9,scratch,random,powers,200,4.852714762917745,5.189119886278849,4.694966194253556,0.25
9,scratch,random,powers,400,0.33072598395925484,0.633237673558064,0.5435629652367573,0.805
9,scratch,random,powers,800,0.05462275894779317,0.09266590933312714,0.08139023651843637,0.97
9,scratch,random,powers,1200,0.03682385361031752,0.051971716635943174,0.04669332288927117,0.97
9,scratch,random,powers,1500,0.025536204657712936,0.03498923682251945,0.03170924754356999,1.0
10,clone,multiplication,powers,50,1.4758998485984811,1.6301825065931048,1.484093267311286,0.16
10,clone,multiplication,powers,100,0.5020861395862414,0.48980886339794255,0.505860381835426,0.61
10,clone,multiplication,powers,200,0.161938938881719,0.16407375750939152,0.16266238892265225,0.78
10,clone,multiplication,powers,400,0.07597311412641028,0.07503781167661966,0.07579661301298714,1.0
10,clone,multiplication,powers,800,0.044830538432821136,0.04338033631959448,0.04484375198468719,1.0
10,clone,multiplication,powers,1200,0.03482728601965069,0.03345181424937871,0.03518446235042889,1.0
10,clone,multiplication,powers,1500,0.026764111176768055,0.025819270422188165,0.02726445284495671,1.0
10,scratch,random,powers,50,7.013071780225085,8.571025234996402,8.780351276481094,0.265
10,scratch,random,powers,100,6.381239853152749,7.785557227720143,7.614753793193257,0.22
10,scratch,random,powers,200,3.8307712399323113,4.758815436254017,4.476127926994963,0.285
10,scratch,random,powers,400,0.31267161259096266,0.34384640707720243,0.3327808138748856,0.745
10,scratch,random,powers,800,0.02567341202686445,0.023997019629182586,0.02308690555225062,1.0
10,scratch,random,powers,1200,0.011216457261270076,0.010483779062387911,0.009910638712770646,1.0
10,scratch,random,powers,1500,0.0078436728074498,0.00764434443576065,0.007257948905615576,1.0
11,clone,multiplication,powers,50,1.457990330184399,1.5951984196042743,1.4271134448437042,0.2
11,clone,multiplication,powers,100,0.4773917995675903,0.5241542918978385,0.5197719920608971,0.61
11,clone,multiplication,powers,200,0.16862812582958248,0.19305600843090626,0.1854067954581837,0.81
11,clone,multiplication,powers,400,0.08946259137546742,0.09874764270682415,0.09342679740609412,0.87
11,clone,multiplication,powers,800,0.0583779012882248,0.062106156269781936,0.059139459242435966,1.0
11,clone,multiplication,powers,1200,0.043710433443378494,0.04473914086068854,0.04340178272823349,1.0
11,clone,multiplication,powers,1500,0.033422810844514796,0.0330824940094903,0.032294599842153125,1.0
11,scratch,random,powers,50,8.227471986910414,8.511704709395298,8.824571869731672,0.155
11,scratch,random,powers,100,7.274368259870712,7.568011761776426,7.411343246907692,0.13
11,scratch,random,powers,200,3.2285283037485444,3.53766207926455,3.2409258477749177,0.26
11,scratch,random,powers,400,0.2645892640880858,0.2981500449863064,0.28065309472406275,0.76
11,scratch,random,powers,800,0.04260383785448917,0.04431325244217007,0.04045393823742631,1.0
11,scratch,random,powers,1200,0.02092464836030941,0.02038038295758144,0.01866333952592447,1.0
11,scratch,random,powers,1500,0.011057522120747223,0.011217755182085757,0.010606909633338732,1.0
12,clone,multiplication,powers,50,1.4506344565074727,1.5410332142237841,1.3872319041855974,0.27
12,clone,multiplication,powers,100,0.5588088102262483,0.5898036764419682,0.5832179998997497,0.655
12,clone,multiplication,powers,200,0.19744588402012822,0.21069889813138756,0.2050418659952222,0.81
12,clone,multiplication,powers,400,0.08860243381617508,0.0939493066641648,0.08939955391175697,0.93
12,clone,multiplication,powers,800,0.056454292288809736,0.05933228826992912,0.05724468069152182,1.0
12,clone,multiplication,powers,1200,0.041384181287435276,0.04237647818444619,0.04100126441414261,1.0
12,clone,multiplication,powers,1500,0.027855246298316337,0.02758976221958143,0.026935563503268756,1.0
12,scratch,random,powers,50,7.990493216006716,8.89298558719107,9.38903247408209,0.15
12,scratch,random,powers,100,6.959325585384224,7.6412959654271955,7.536492677449984,0.15
12,scratch,random,powers,200,3.477153679291453,3.896723312025239,3.6223354402951107,0.24
